order,m,N,condA,normB,stab_500,stab_1000,stab_2000,stab_4000,stab_10000
3,1,2,2734.354448531418,0.127844494778818,True,True,True,True,True
3,1,2,47.65623447553408,0.07977740928103183,True,True,True,True,True
3,1,2,20.2898425430521,0.21185790588829098,True,True,True,True,True
3,1,2,12.48460037663646,0.06884598595901431,True,True,True,True,True
3,1,2,92.1573200331566,0.11221285984368307,True,True,True,True,True
3,1,2,66.71322696154306,0.11842339181758774,True,True,True,True,True
3,1,2,185.09272131195223,0.14374812161006775,True,True,True,True,True
3,1,2,10.64530222023186,0.2236760436392994,True,True,True,True,True
3,1,2,141.8508880522026,0.173030153986575,True,True,True,True,True
3,1,2,4.861612803328942,0.13182236679551007,True,True,True,True,True
3,1,2,17.27733499537872,0.19096736707900536,True,True,True,True,True
3,1,2,42.96963122615872,0.0499019135618812,True,True,True,True,True
3,1,2,7.857838763599672,0.05745296947686687,True,True,True,True,True
3,1,2,74.46538924052123,0.11769352633793947,True,True,True,True,True
3,1,2,186.15097471287152,0.08664638289067302,True,True,True,True,True
3,1,2,5.030927917768315,0.2117239028663303,True,True,True,True,True
3,1,2,18.05203273085911,0.07775176436281521,True,True,True,True,True
3,1,2,103.33271327246537,0.06441714795829909,False,False,True,False,False
3,1,2,8.912346904575571,0.06823268788562831,True,True,True,True,True
3,1,2,63.64757632839381,0.0480470702975344,False,False,True,True,True
3,1,2,72.48530922732174,0.03248708163625189,True,True,True,True,True
3,1,2,62.343314645110624,0.10169946506556421,True,True,True,True,True
3,1,2,21.806681582846632,0.10320084965925819,True,True,True,True,True
3,1,2,4.978465951717936,0.11386377565233505,True,True,True,True,True
3,1,2,14.290281442210652,0.0652706623812369,True,True,True,True,True
3,1,2,319.57360280664125,0.08528841508842443,False,False,False,False,False
3,1,2,2767.577443591535,0.05743411913271557,True,True,True,True,True
3,1,2,8.490169440135224,0.11880058811470608,True,True,True,True,True
3,1,2,7.022856625090196,0.16549593341801003,True,True,True,True,True
3,1,2,4010.935719523265,0.08183814489516249,True,True,True,True,True
3,1,2,18.901013327953223,0.32493231692449687,True,True,True,True,True
3,1,2,21.87796164561454,0.06851580481424695,True,True,True,True,True
3,1,2,6.630040240211001,0.12983018477550123,True,True,True,True,True
3,1,2,21.592159712848716,0.14877452095008417,False,False,False,True,True
3,1,2,169.9680497902811,0.17989394965368913,True,True,True,True,True
3,1,2,25.59762695333728,0.03016910237404841,True,True,True,True,True
3,1,2,7.7416734569123085,0.05426404238691927,True,True,True,True,True
3,1,2,8.16276619851893,0.14686974579123557,True,True,True,True,True
3,1,2,258.47884383910963,0.07087570892290258,True,True,True,True,True
3,1,2,28.292764399055464,0.04913497559892071,True,True,True,True,True
3,1,2,13.718384220780358,0.19203010224724248,True,True,True,True,True
3,1,2,7.021714240583549,0.15471633498218892,True,True,True,True,True
3,1,2,35.82546207864676,0.08558811533074889,True,True,True,True,True
3,1,2,5.323590949380187,0.08452127351541033,True,True,True,True,True
3,1,2,43.09777676206041,0.05602852839034862,False,False,False,True,True
3,1,2,23.070329596186536,0.10745215142415998,True,True,True,True,True
3,1,2,127.79868835403325,0.030649845998539732,False,False,False,False,False
3,1,2,223.49618357214175,0.1279348479326591,True,True,True,True,True
3,1,2,76.10625700002072,0.12317310978341608,True,True,True,True,True
3,1,2,6.579255460493972,0.27038088367129004,False,True,True,True,True
3,1,2,20.485355992030247,0.18879835771530193,True,True,True,True,True
3,1,2,51.43099287396097,0.05547305506336895,True,True,True,True,True
3,1,2,6.57801790816985,0.14353848655340312,True,True,True,True,True
3,1,2,32.431212770643356,0.0638759447106997,True,True,True,True,True
3,1,2,34.119702664157586,0.09288420213743581,True,True,True,True,True
3,1,2,36.14741808473548,0.1577885424999642,True,True,True,True,True
3,1,2,216.3370760947417,0.28084744351174384,False,False,False,False,False
3,1,2,6.939576525730333,0.10620084656781194,True,True,True,True,True
3,1,2,17.33390753979051,0.029077930009412042,True,True,True,True,True
3,1,2,28.019210699124653,0.07588985294411603,True,True,True,True,True
3,1,2,531.1455044795431,0.032773609453723256,True,True,True,False,True
3,1,2,42.371221898964414,0.07419687845980628,True,True,True,True,True
3,1,2,26.324846271660043,0.09129755743930462,True,True,True,True,True
3,1,3,30.228197031617125,0.10528167763855507,True,True,True,True,True
3,1,3,17.377070087053333,0.13718989674523002,True,True,True,True,True
3,1,3,38.23087635296725,0.03767914582057687,False,True,True,True,True
3,1,3,27.277096887075974,0.12784497871409717,True,False,True,True,True
3,1,3,29.950885880237294,0.061597433290884636,True,True,True,True,True
3,1,3,4045.64168885839,0.06045348110423195,True,True,True,True,True
3,1,3,21.497200687139717,0.06575133376350742,True,True,True,True,True
3,1,3,15.240636191080773,0.19277743030362862,True,True,True,True,True
3,1,3,690.2213375933975,0.016393289749960786,False,False,True,True,True
3,1,3,10.118020872406596,0.14732250105557163,True,True,True,True,True
3,1,3,16.36702085558736,0.05970401515493549,True,True,True,True,True
3,1,3,14.032370764665552,0.2894451927444463,True,True,True,True,True
3,1,3,170.60468158757817,0.08402151511624464,True,True,True,True,True
3,1,3,84.20958878388913,0.13686418410902143,True,True,True,True,True
3,1,3,93.16578928671277,0.04369273472653814,True,True,True,True,True
3,1,3,55.05746502132788,0.15241278563399832,True,True,True,True,True
3,1,3,8.52846940387949,0.06855030554021418,False,False,True,True,True
3,1,3,54.531217029026905,0.09765590392069383,True,True,True,True,True
3,1,3,59.166870390157094,0.07360225813653724,False,False,False,False,False
